"","Id","Months_since_Last_Donation","Number_of_Donations","Total_Volume_Donated_cc","Months_since_First_Donation","Made_Donation_in_March_2007","predictedProbabilities","stdResiduals","studentResiduals","dfbeta.(Intercept)","dfbeta.Months_since_Last_Donation","dfbeta.Number_of_Donations","dfbeta.Months_since_First_Donation","dffit","leverage","cooksDistance"
"436",331, 4, 9,2250,55,"Not_Donated",0.301304382,-0.8500608,-0.8487648,-2.073040e-03, 7.146787e-04, 5.430709e-04,-3.616169e-04,-0.076721454,0.007643570,8.367935e-04
"527",130, 4, 2, 500,46,"Not_Donated",0.152176461,-0.5775421,-0.5762015,-4.435160e-03, 4.914015e-04, 1.708375e-03,-3.775947e-04,-0.060149364,0.010161443,4.653810e-04
"30",340, 2, 8,2000,28,"Donated",0.447247255, 1.2730825, 1.2720386, 1.439278e-02,-1.056703e-03, 1.680845e-03,-2.703688e-04, 0.110558473,0.007065752,2.214321e-03
"439", 41, 2, 6,1500,47,"Not_Donated",0.282399044,-0.8183597,-0.8168588,-6.890345e-03, 1.050704e-03, 1.379359e-03,-4.239944e-04,-0.080209082,0.009002861,9.018949e-04
"331",543,16, 3, 750,40,"Not_Donated",0.069362901,-0.3800427,-0.3796238, 6.831106e-04,-3.834125e-04, 3.950411e-04,-6.479015e-05,-0.026475456,0.004574276,8.601843e-05
"67",448, 2, 2, 500, 4,"Not_Donated",0.352512047,-0.9364191,-0.9349072,-1.925148e-02, 6.047430e-04,-6.994842e-05, 2.965424e-04,-0.089883491,0.008633546,1.195647e-03
"252",324,14, 8,2000,50,"Donated",0.135349572, 2.0052575, 2.0084219,-1.036447e-02, 2.193410e-03,-1.564285e-04, 2.398998e-04, 0.150968102,0.005289370,8.537567e-03
"438",203, 2, 6,1500,45,"Not_Donated",0.291319634,-0.8333359,-0.8319446,-7.382635e-03, 1.043433e-03, 1.261078e-03,-3.891698e-04,-0.078284456,0.008276099,8.647757e-04
"267",159,11, 1, 250,11,"Not_Donated",0.143548388,-0.5581605,-0.5574903,-3.945907e-03,-5.116329e-04, 2.522017e-04, 8.913150e-05,-0.041584287,0.005226172,2.212944e-04
"185",494, 4, 2, 500,14,"Not_Donated",0.265049210,-0.7867453,-0.7859377,-1.184668e-02, 2.916346e-04, 5.651380e-04, 5.012721e-05,-0.057065790,0.004951416,4.508677e-04
"294",708,14, 1, 250,14,"Not_Donated",0.105054766,-0.4724778,-0.4718542,-1.696133e-03,-5.722879e-04, 2.165241e-04, 6.005378e-05,-0.036435850,0.005598437,1.661508e-04
"146",432, 4, 4,1000,26,"Donated",0.273878269, 1.6124986, 1.6125718, 1.852179e-02,-8.166707e-04,-1.163280e-03, 1.285928e-04, 0.103311654,0.003849264,2.571103e-03
"140",589, 2, 1, 250, 2,"Not_Donated",0.327908386,-0.8955079,-0.8939516,-1.917791e-02, 5.861159e-04, 2.829368e-04, 2.436076e-04,-0.087743858,0.008994638,1.117109e-03
"101",172, 2, 5,1250,33,"Donated",0.314194111, 1.5261621, 1.5259051, 1.845371e-02,-1.642469e-03,-1.484521e-03, 3.522427e-04, 0.120875911,0.005874259,3.243498e-03
"483", 55, 8, 9,2250,64,"Not_Donated",0.193880485,-0.6590036,-0.6579163, 2.077733e-03, 7.504914e-05, 7.026757e-04,-3.356570e-04,-0.058728451,0.007458689,4.552396e-04
"443",351, 9, 9,2250,38,"Not_Donated",0.277882962,-0.8089341,-0.8081150,-3.956024e-06,-5.225720e-04,-1.012717e-03, 1.279710e-04,-0.058661271,0.004948658,4.808292e-04
"71",630, 2, 6,1500,28,"Donated",0.373248154, 1.4077141, 1.4071547, 1.788427e-02,-1.322632e-03, 1.184252e-04,-1.024753e-05, 0.106500204,0.005366959,2.277406e-03
"43",377, 2, 2, 500, 2,"Not_Donated",0.362528516,-0.9534379,-0.9517839,-2.009856e-02, 5.760955e-04,-2.607842e-04, 3.601998e-04,-0.095574963,0.009408073,1.363115e-03
"485",443,11,16,4000,89,"Not_Donated",0.233605005,-0.7362501,-0.7333582, 1.180352e-02,-3.015593e-04,-3.914819e-04,-3.871518e-04,-0.103507848,0.018354049,1.451415e-03
"307",724,16, 8,2000,76,"Not_Donated",0.068165990,-0.3771404,-0.3764793, 2.887038e-03,-2.802431e-04, 5.047969e-04,-1.757449e-04,-0.033161736,0.007267652,1.348649e-04
"275",735, 9, 2, 500,26,"Not_Donated",0.146026596,-0.5628989,-0.5624326,-3.421838e-03,-2.090099e-04, 6.775589e-04,-7.004849e-05,-0.034839629,0.003612667,1.555605e-04
"397",226, 3, 5,1250,12,"Donated",0.396611704, 1.3651111, 1.3642052, 2.140589e-02,-5.519603e-04, 1.581273e-03,-5.594654e-04, 0.122010939,0.007476837,2.886742e-03
"297",234, 9, 3, 750,52,"Not_Donated",0.101581547,-0.4643942,-0.4636700,-7.100975e-04, 6.703408e-06, 1.056258e-03,-2.441895e-04,-0.038902383,0.006599651,1.890377e-04
"548",118,21, 6,1500,48,"Not_Donated",0.057553699,-0.3453888,-0.3448684, 2.228770e-03,-5.204396e-04, 1.073841e-04,-2.460646e-05,-0.028056046,0.006209384,9.598766e-05
"230",634,16,12,3000,50,"Not_Donated",0.192277922,-0.6576110,-0.6557988, 7.033949e-03,-1.230773e-03,-1.301718e-03, 1.479601e-04,-0.075861253,0.012435454,7.588189e-04
"290", 25,14, 1, 250,14,"Not_Donated",0.105054766,-0.4724778,-0.4718542,-1.696133e-03,-5.722879e-04, 2.165241e-04, 6.005378e-05,-0.036435850,0.005598437,1.661508e-04
"359", 69,21, 5,1250,60,"Not_Donated",0.038766219,-0.2819366,-0.2815775, 1.671751e-03,-3.133866e-04, 2.745083e-04,-6.784469e-05,-0.020936518,0.005195199,5.292866e-05
"343", 42,21, 3, 750,35,"Not_Donated",0.048703998,-0.3168883,-0.3164588, 1.171554e-03,-4.552731e-04, 1.621542e-04,-8.664531e-06,-0.024345892,0.005558465,7.194246e-05
"429", 86, 4, 6,1500,30,"Not_Donated",0.319571021,-0.8791556,-0.8785229,-8.449856e-03, 4.310499e-04,-1.508691e-05,-5.026617e-06,-0.055013885,0.003688513,4.363004e-04
"467", 80, 4, 1, 250, 4,"Not_Donated",0.277860906,-0.8097229,-0.8085663,-1.448287e-02, 1.820136e-04, 2.936333e-04, 2.000486e-04,-0.069805966,0.006979661,6.808707e-04
"137",220, 2, 1, 250, 2,"Not_Donated",0.327908386,-0.8955079,-0.8939516,-1.917791e-02, 5.861159e-04, 2.829368e-04, 2.436076e-04,-0.087743858,0.008994638,1.117109e-03
"178",746, 4, 3, 750,24,"Not_Donated",0.252621590,-0.7647582,-0.7640754,-9.415751e-03, 3.914575e-04, 8.126279e-04,-8.711664e-05,-0.051395123,0.004253840,3.625383e-04
"6",335, 4, 4,1000, 4,"Not_Donated",0.378637553,-0.9802892,-0.9785842,-1.647521e-02, 4.264213e-05,-1.386626e-03, 5.568876e-04,-0.099606661,0.009662739,1.500903e-03
"81",506, 4, 9,2250,38,"Donated",0.384517347, 1.3862878, 1.3856858, 8.164826e-03,-6.886690e-04, 1.422151e-03,-7.772720e-05, 0.104600004,0.005339333,2.159618e-03
"362",370,22, 1, 250,22,"Donated",0.043437308, 2.5121623, 2.5311222,-5.556015e-03, 3.847405e-03,-1.046431e-03,-1.563333e-04, 0.202653524,0.006034934,3.362953e-02
"545",198,16, 1, 250,16,"Not_Donated",0.084732476,-0.4220432,-0.4214533,-7.133818e-04,-5.690006e-04, 1.918010e-04, 4.551438e-05,-0.033282658,0.005853682,1.370788e-04
"104",731, 4, 8,2000,46,"Donated",0.310430429, 1.5336726, 1.5334656, 7.579817e-03,-1.092199e-03,-5.518211e-04, 4.120132e-04, 0.115788670,0.005340122,2.997476e-03
"35",336, 2, 5,1250,16,"Not_Donated",0.398934350,-1.0124225,-1.0112361,-1.629189e-02, 7.484924e-04,-6.968342e-04, 2.700095e-04,-0.085724393,0.006728773,1.131670e-03
"106",145, 2, 2, 500,10,"Donated",0.323257345, 1.5081738, 1.5077866, 2.863639e-02,-1.154366e-03,-7.617993e-04,-2.077195e-04, 0.130679838,0.007023338,3.728040e-03
"311",743,16, 3, 750,34,"Not_Donated",0.078298693,-0.4047679,-0.4043126, 5.085224e-04,-4.628431e-04, 3.106370e-04,-3.301588e-05,-0.028563677,0.004692935,1.006085e-04
"358",302,21, 1, 250,21,"Not_Donated",0.048646342,-0.3167787,-0.3163092, 5.472328e-04,-4.816826e-04, 1.345898e-04, 2.173675e-05,-0.025455793,0.006077857,7.864914e-05
"211",707,11, 8,2000,46,"Not_Donated",0.185955919,-0.6428092,-0.6422130, 1.562726e-03,-4.773460e-04,-4.585756e-05,-6.185875e-05,-0.042750439,0.004167899,2.400198e-04
"165",434, 2, 7,1750,76,"Not_Donated",0.195970982,-0.6681145,-0.6647584,-1.417627e-03, 1.094221e-03, 2.265498e-03,-7.275622e-04,-0.104702456,0.022709906,1.448867e-03
"105",544, 4, 8,2000,48,"Donated",0.301173338, 1.5537422, 1.5535927, 7.045773e-03,-1.165274e-03,-8.479884e-04, 5.013237e-04, 0.122175164,0.005789378,3.397567e-03
"49",612, 4, 8,2000,26,"Donated",0.410471163, 1.3387571, 1.3379349, 1.230779e-02,-3.869893e-04, 2.200325e-03,-4.246288e-04, 0.110152469,0.006344686,2.307284e-03
"164", 19, 2, 2, 500,16,"Not_Donated",0.295323123,-0.8393719,-0.8382922,-1.462057e-02, 7.358298e-04, 8.865944e-04,-2.808606e-05,-0.069309448,0.006406169,6.798735e-04
"239",394,11, 5,1250,37,"Donated",0.149309577, 1.9535983, 1.9552646, 1.856887e-03, 1.339819e-03,-1.170389e-03, 2.182408e-04, 0.118248488,0.003427043,4.915020e-03
"480",404,11, 2, 500,11,"Not_Donated",0.163437353,-0.5991063,-0.5983426,-4.074284e-03,-6.096709e-04, 1.088866e-05, 1.465203e-04,-0.046337830,0.005629656,2.780855e-04
"186",195, 2, 4,1000,43,"Not_Donated",0.240145396,-0.7447150,-0.7431900,-7.593136e-03, 9.344545e-04, 1.719365e-03,-4.193894e-04,-0.075527687,0.009635967,7.762281e-04
"511",320,16, 3, 750,21,"Not_Donated",0.101357455,-0.4637474,-0.4630738,-7.283722e-05,-6.828085e-04, 2.542423e-05, 6.897014e-05,-0.037480773,0.006146036,1.754522e-04
"208",498, 4, 5,1250,58,"Not_Donated",0.179531674,-0.6327495,-0.6311180,-2.729940e-03, 6.144338e-04, 1.697122e-03,-4.709531e-04,-0.070218082,0.011519397,6.449302e-04
"147",565,10, 4,1000,16,"Not_Donated",0.207761409,-0.6842710,-0.6834910,-4.236179e-03,-6.372588e-04,-3.507276e-04, 1.996327e-04,-0.050931026,0.005214293,3.454501e-04
"268",152,11, 1, 250,11,"Not_Donated",0.143548388,-0.5581605,-0.5574903,-3.945907e-03,-5.116329e-04, 2.522017e-04, 8.913150e-05,-0.041584287,0.005226172,2.212944e-04
"481",218, 2, 5,1250,63,"Not_Donated",0.192364572,-0.6594353,-0.6568915,-3.673033e-03, 9.795287e-04, 2.162851e-03,-6.105580e-04,-0.090207999,0.017398623,1.073025e-03
"568", 30,23, 1, 250,23,"Not_Donated",0.038763329,-0.2820349,-0.2816225, 7.441851e-04,-4.332610e-04, 1.149800e-04, 1.587596e-05,-0.022449578,0.005964454,6.085519e-05
"219",465,14,13,3250,57,"Not_Donated",0.224292258,-0.7169242,-0.7151129, 8.033959e-03,-1.065274e-03,-1.358690e-03, 7.523127e-05,-0.080251237,0.011715190,8.670442e-04
"302",713,11, 4,1000,61,"Not_Donated",0.081916477,-0.4148735,-0.4141896, 5.867468e-04,-7.362677e-05, 8.952696e-04,-2.265557e-04,-0.035517926,0.006891649,1.558687e-04
"416",542, 2, 2, 500, 4,"Donated",0.352512047, 1.4503454, 1.4495989, 2.981709e-02,-9.366385e-04, 1.083376e-04,-4.592911e-04, 0.139416846,0.008633546,4.033838e-03
"168",239, 4, 1, 250, 4,"Not_Donated",0.277860906,-0.8097229,-0.8085663,-1.448287e-02, 1.820136e-04, 2.936333e-04, 2.000486e-04,-0.069805966,0.006979661,6.808707e-04
"520",642,16,14,3500,83,"Not_Donated",0.136070691,-0.5442920,-0.5427102, 8.201672e-03,-6.435939e-04,-1.294045e-04,-1.949455e-04,-0.063132270,0.012574135,5.078033e-04
"254",186,14, 2, 500,16,"Not_Donated",0.115818739,-0.4975896,-0.4969266,-1.454395e-03,-6.357480e-04, 1.061479e-04, 7.928274e-05,-0.038690470,0.005690780,1.884979e-04
"76",510, 4, 2, 500, 4,"Donated",0.309631394, 1.5369186, 1.5366411, 2.711649e-02,-2.589821e-04, 3.063602e-04,-5.384112e-04, 0.136314721,0.007354908,4.160689e-03
"346",180,23, 3, 750,33,"Not_Donated",0.042197408,-0.2945309,-0.2940978, 1.256462e-03,-4.593152e-04, 1.001443e-04, 5.371431e-06,-0.023532507,0.006009077,6.698734e-05
"299",716,11, 4,1000,58,"Not_Donated",0.086972443,-0.4279556,-0.4273050, 4.770220e-04,-9.524889e-05, 8.741879e-04,-2.179045e-04,-0.035228854,0.006374903,1.537681e-04
"457",310, 3, 5,1250,38,"Not_Donated",0.271599997,-0.7984265,-0.7974784,-7.680577e-03, 7.328150e-04, 1.060958e-03,-2.684485e-04,-0.062516361,0.005764868,5.436395e-04
"247",216,11, 2, 500,17,"Not_Donated",0.146327721,-0.5637585,-0.5631860,-3.184540e-03,-4.911600e-04, 2.557768e-04, 5.850961e-05,-0.038652426,0.004429471,1.915064e-04
"149",586, 4,12,3000,88,"Not_Donated",0.249574967,-0.7668791,-0.7630633, 4.424796e-03, 1.001194e-03, 1.495699e-03,-7.804487e-04,-0.122558489,0.023588463,2.057158e-03
"424",521, 2, 6,1500,35,"Donated",0.338286698, 1.4765766, 1.4761614, 1.639804e-02,-1.590160e-03,-8.853584e-04, 2.890984e-04, 0.115764557,0.005758626,2.848788e-03
"345",538,23, 2, 500,26,"Not_Donated",0.042172253,-0.2944765,-0.2940263, 9.852259e-04,-4.707514e-04, 8.818432e-05, 1.856959e-05,-0.023993798,0.006247776,6.963837e-05
"441",165, 2, 2, 500,11,"Donated",0.318505850, 1.5179005, 1.5175627, 2.842329e-02,-1.190867e-03,-9.093472e-04,-1.648750e-04, 0.129926284,0.006854565,3.717397e-03
"330",265,23, 3, 750,28,"Not_Donated",0.046830393,-0.3107672,-0.3102555, 1.262377e-03,-5.251354e-04, 4.345855e-05, 2.608179e-05,-0.026316575,0.006745119,8.397806e-05
"124",477, 2, 1, 250, 2,"Not_Donated",0.327908386,-0.8955079,-0.8939516,-1.917791e-02, 5.861159e-04, 2.829368e-04, 2.436076e-04,-0.087743858,0.008994638,1.117109e-03
"277",711,11, 2, 500,24,"Not_Donated",0.128271374,-0.5249885,-0.5245204,-2.313910e-03,-3.741691e-04, 4.780640e-04,-2.368228e-05,-0.033506852,0.003841072,1.423913e-04
"422",329, 4, 7,1750,32,"Donated",0.343869179, 1.4640936, 1.4637821, 1.254745e-02,-7.020641e-04, 6.009516e-04,-4.939427e-05, 0.095621200,0.004003633,1.925201e-03
"524", 22,23,19,4750,62,"Not_Donated",0.213736301,-0.7095793,-0.7026288, 1.816580e-02,-2.544259e-03,-3.613418e-03, 4.773104e-04,-0.158063241,0.044839157,3.340062e-03
"188", 62, 8, 8,2000,52,"Donated",0.211386154, 1.7670309, 1.7678390,-1.005219e-03, 1.053388e-04,-1.055508e-03, 5.465091e-04, 0.123441724,0.004567289,4.298952e-03
"488",526,11, 4,1000,27,"Not_Donated",0.157727396,-0.5869869,-0.5865025,-1.804714e-03,-4.841380e-04, 1.846166e-04, 1.986754e-05,-0.036415203,0.003629231,1.711461e-04
"410",124, 2, 4,1000,14,"Not_Donated",0.372956925,-0.9693570,-0.9682010,-1.661107e-02, 7.274419e-04,-2.705182e-04, 2.161953e-04,-0.081084444,0.006569254,9.897880e-04
"351",660,21, 1, 250,21,"Not_Donated",0.048646342,-0.3167787,-0.3163092, 5.472328e-04,-4.816826e-04, 1.345898e-04, 2.173675e-05,-0.025455793,0.006077857,7.864914e-05
"403",250, 4,13,3250,39,"Donated",0.530161743, 1.1346986, 1.1322503, 2.622421e-03,-2.955496e-04, 3.903231e-03,-4.991454e-04, 0.140576656,0.014286556,3.257663e-03
"107",747, 4, 5,1250,28,"Not_Donated",0.296214675,-0.8397240,-0.8391096,-8.888469e-03, 4.192575e-04, 3.030352e-04,-3.662882e-05,-0.052253499,0.003648239,3.866912e-04
"394",104, 2,11,2750,28,"Not_Donated",0.561675009,-1.2932426,-1.2912661,-1.120937e-02, 8.093718e-04,-4.105981e-03, 6.729539e-04,-0.156830219,0.013684496,4.506361e-03
"375",588,23, 1, 250,23,"Not_Donated",0.038763329,-0.2820349,-0.2816225, 7.441851e-04,-4.332610e-04, 1.149800e-04, 1.587596e-05,-0.022449578,0.005964454,6.085519e-05
"236",362,14, 2, 500,14,"Not_Donated",0.120359867,-0.5080001,-0.5072744,-1.642332e-03,-6.758322e-04, 4.213260e-05, 1.025767e-04,-0.040970715,0.006119667,2.119221e-04
"355",431,21, 1, 250,21,"Not_Donated",0.048646342,-0.3167787,-0.3163092, 5.472328e-04,-4.816826e-04, 1.345898e-04, 2.173675e-05,-0.025455793,0.006077857,7.864914e-05
"177",282, 4, 1, 250, 4,"Not_Donated",0.277860906,-0.8097229,-0.8085663,-1.448287e-02, 1.820136e-04, 2.936333e-04, 2.000486e-04,-0.069805966,0.006979661,6.808707e-04
"412",470, 4, 5,1250,16,"Donated",0.353489642, 1.4461247, 1.4456460, 1.935922e-02,-3.618022e-04, 1.160964e-03,-4.420948e-04, 0.110641536,0.005486754,2.536490e-03
"248",153,14, 4,1000,26,"Not_Donated",0.125190164,-0.5185043,-0.5178989,-2.719121e-04,-6.503183e-04, 4.218329e-05, 5.095054e-05,-0.037849118,0.005018625,1.813641e-04
"59",591, 2, 4,1000,16,"Not_Donated",0.362816314,-0.9523392,-0.9512644,-1.585573e-02, 7.540100e-04,-7.558840e-05, 1.550134e-04,-0.076902601,0.006125406,8.827422e-04
"215", 11, 7, 2, 500,16,"Not_Donated",0.205178272,-0.6790235,-0.6784434,-7.142519e-03,-1.487632e-04, 4.459942e-04, 4.511903e-05,-0.043678354,0.003899696,2.536450e-04
"91",493, 4, 8,2000,40,"Donated",0.339105975, 1.4740148, 1.4736848, 9.124485e-03,-8.744464e-04, 3.190882e-04, 1.486497e-04, 0.102391222,0.004526340,2.225482e-03
"425",531, 2, 3, 750,14,"Not_Donated",0.337868748,-0.9109411,-0.9098461,-1.603044e-02, 7.277085e-04, 2.857409e-04, 1.099463e-04,-0.074620896,0.006303451,8.143569e-04
"224",647,14, 4,1000,22,"Donated",0.135058405, 2.0067957, 2.0102475, 2.184605e-03, 2.731048e-03, 3.962145e-04,-3.718291e-04, 0.157481958,0.005744129,9.303214e-03
"465",188, 4, 2, 500,13,"Not_Donated",0.269318386,-0.7941998,-0.7933684,-1.216137e-02, 2.791483e-04, 5.009153e-04, 7.244064e-05,-0.058300224,0.005070642,4.720155e-04
"150", 59,13, 8,2000,26,"Not_Donated",0.225439702,-0.7182740,-0.7167752, 9.303933e-04,-1.157211e-03,-1.376232e-03, 3.227039e-04,-0.073039037,0.009687469,7.187551e-04
"324",468,21, 2, 500,23,"Not_Donated",0.053979278,-0.3342227,-0.3336966, 8.011236e-04,-5.371261e-04, 8.662967e-05, 3.039347e-05,-0.027724852,0.006473974,9.355756e-05
"135",291, 2, 1, 250, 2,"Not_Donated",0.327908386,-0.8955079,-0.8939516,-1.917791e-02, 5.861159e-04, 2.829368e-04, 2.436076e-04,-0.087743858,0.008994638,1.117109e-03
"382",287,21, 3, 750,70,"Not_Donated",0.023311492,-0.2177034,-0.2174539, 1.023538e-03,-1.644548e-04, 3.146512e-04,-7.457286e-05,-0.015269005,0.004637282,2.792896e-05
"64",369, 2, 2, 500, 4,"Donated",0.352512047, 1.4503454, 1.4495989, 2.981709e-02,-9.366385e-04, 1.083376e-04,-4.592911e-04, 0.139416846,0.008633546,4.033838e-03
"447",720, 2, 1, 250, 2,"Donated",0.327908386, 1.5000942, 1.4995483, 3.212554e-02,-9.818217e-04,-4.739565e-04,-4.080750e-04, 0.147236237,0.008994638,4.692968e-03
"497",682,11, 3, 750,23,"Not_Donated",0.149151496,-0.5694660,-0.5689642,-2.395328e-03,-4.698687e-04, 2.594361e-04, 2.677976e-05,-0.036399893,0.003852070,1.701226e-04
"93",564,11,24,6000,64,"Not_Donated",0.641775395,-1.4777953,-1.4721497, 3.049252e-02,-2.368625e-03,-1.188814e-02, 1.416538e-03,-0.384084579,0.059842517,3.032329e-02
"80",527, 3,17,4250,86,"Not_Donated",0.451629848,-1.1117446,-1.1068715, 1.055563e-02, 1.510939e-03,-1.123230e-03,-6.859487e-04,-0.193468178,0.027805262,6.057163e-03
"476",603, 4, 4,1000,34,"Donated",0.240585927, 1.6920460, 1.6924812, 1.632453e-02,-1.097072e-03,-2.361279e-03, 4.837146e-04, 0.120804490,0.004772482,3.802314e-03
"19",463, 2, 3, 750, 4,"Donated",0.388229300, 1.3820930, 1.3810117, 2.779757e-02,-8.181463e-04, 9.419751e-04,-5.855647e-04, 0.138287080,0.009351381,3.753850e-03
"251",458, 9, 5,1250,51,"Donated",0.135701384, 2.0039035, 2.0070205, 1.310505e-03, 1.883413e-04,-3.320860e-03, 8.691349e-04, 0.150120689,0.005237567,8.427726e-03
"127",456, 2, 1, 250, 2,"Not_Donated",0.327908386,-0.8955079,-0.8939516,-1.917791e-02, 5.861159e-04, 2.829368e-04, 2.436076e-04,-0.087743858,0.008994638,1.117109e-03
"539",621,16, 7,1750,64,"Not_Donated",0.075382217,-0.3971067,-0.3965359, 2.492981e-03,-3.543988e-04, 4.273565e-04,-1.382183e-04,-0.031671158,0.005986642,1.234939e-04
"291", 18,14, 1, 250,14,"Not_Donated",0.105054766,-0.4724778,-0.4718542,-1.696133e-03,-5.722879e-04, 2.165241e-04, 6.005378e-05,-0.036435850,0.005598437,1.661508e-04
"442",383, 4, 6,1500,38,"Donated",0.282888230, 1.5925598, 1.5925727, 1.249542e-02,-1.027380e-03,-1.154228e-03, 3.601110e-04, 0.107531312,0.004274026,2.731930e-03
"469",417, 4, 1, 250, 4,"Not_Donated",0.277860906,-0.8097229,-0.8085663,-1.448287e-02, 1.820136e-04, 2.936333e-04, 2.000486e-04,-0.069805966,0.006979661,6.808707e-04
"338",481,14, 3, 750,52,"Not_Donated",0.065110446,-0.3678951,-0.3674401, 6.387044e-04,-2.192514e-04, 6.205709e-04,-1.362727e-04,-0.027123942,0.005120691,9.007787e-05
"564", 49,23, 3, 750,39,"Not_Donated",0.037215300,-0.2761525,-0.2757889, 1.234264e-03,-3.904255e-04, 1.529433e-04,-1.447167e-05,-0.020845206,0.005367087,5.242583e-05
